date,team1,team2,score1,score2,time,game_type,text_content
"Friday, August 22, 2025",Boston Red Sox,New York Yankees,,,7:05 pm,,7:05 pm Boston Red Sox @ New York Yankees Preview
"Friday, August 22, 2025",Kansas City Royals,Detroit Tigers,,,7:10 pm,,7:10 pm Kansas City Royals @ Detroit Tigers Preview
"Friday, August 22, 2025",Toronto Blue Jays,Miami Marlins,,,7:10 pm,,7:10 pm Toronto Blue Jays @ Miami Marlins Preview
"Friday, August 22, 2025",New York Mets,Atlanta Braves,,,7:15 pm,,7:15 pm New York Mets @ Atlanta Braves Preview
"Friday, August 22, 2025",St. Louis Cardinals,Tampa Bay Rays,,,7:35 pm,,7:35 pm St. Louis Cardinals @ Tampa Bay Rays Preview
"Friday, August 22, 2025",Minnesota Twins,Chicago White Sox,,,7:40 pm,,7:40 pm Minnesota Twins @ Chicago White Sox Preview
"Friday, August 22, 2025",Cleveland Guardians,Texas Rangers,,,8:05 pm,,8:05 pm Cleveland Guardians @ Texas Rangers Preview
"Friday, August 22, 2025",San Francisco Giants,Milwaukee Brewers,,,8:10 pm,,8:10 pm San Francisco Giants @ Milwaukee Brewers Preview
"Friday, August 22, 2025",Chicago Cubs,Los Angeles Angels,,,9:38 pm,,9:38 pm Chicago Cubs @ Los Angeles Angels Preview
"Friday, August 22, 2025",Cincinnati Reds,Arizona D'Backs,,,9:40 pm,,9:40 pm Cincinnati Reds @ Arizona D'Backs Preview
"Friday, August 22, 2025",Los Angeles Dodgers,San Diego Padres,,,9:40 pm,,9:40 pm Los Angeles Dodgers @ San Diego Padres Preview
"Friday, August 22, 2025",Athletics,Seattle Mariners,,,10:10 pm,,10:10 pm Athletics @ Seattle Mariners Preview
"Saturday, August 23, 2025",Boston Red Sox,New York Yankees,,,1:05 pm,,1:05 pm Boston Red Sox @ New York Yankees Preview
"Saturday, August 23, 2025",Toronto Blue Jays,Miami Marlins,,,4:10 pm,,4:10 pm Toronto Blue Jays @ Miami Marlins Preview
"Saturday, August 23, 2025",Washington Nationals,Philadelphia Phillies,,,6:05 pm,,6:05 pm Washington Nationals @ Philadelphia Phillies Preview
"Saturday, August 23, 2025",Kansas City Royals,Detroit Tigers,,,6:10 pm,,6:10 pm Kansas City Royals @ Detroit Tigers Preview
"Saturday, August 23, 2025",Colorado Rockies,Pittsburgh Pirates,,,6:40 pm,,6:40 pm Colorado Rockies @ Pittsburgh Pirates Preview
"Saturday, August 23, 2025",Houston Astros,Baltimore Orioles,,,7:05 pm,,7:05 pm Houston Astros @ Baltimore Orioles Preview
"Saturday, August 23, 2025",Cleveland Guardians,Texas Rangers,,,7:05 pm,,7:05 pm Cleveland Guardians @ Texas Rangers Preview
"Saturday, August 23, 2025",Minnesota Twins,Chicago White Sox,,,7:10 pm,,7:10 pm Minnesota Twins @ Chicago White Sox Preview
"Saturday, August 23, 2025",San Francisco Giants,Milwaukee Brewers,,,7:10 pm,,7:10 pm San Francisco Giants @ Milwaukee Brewers Preview
"Saturday, August 23, 2025",New York Mets,Atlanta Braves,,,7:15 pm,,7:15 pm New York Mets @ Atlanta Braves Preview
"Saturday, August 23, 2025",Cincinnati Reds,Arizona D'Backs,,,8:10 pm,,8:10 pm Cincinnati Reds @ Arizona D'Backs Preview
"Saturday, August 23, 2025",Los Angeles Dodgers,San Diego Padres,,,8:40 pm,,8:40 pm Los Angeles Dodgers @ San Diego Padres Preview
"Saturday, August 23, 2025",Chicago Cubs,Los Angeles Angels,,,9:38 pm,,9:38 pm Chicago Cubs @ Los Angeles Angels Preview
"Saturday, August 23, 2025",Athletics,Seattle Mariners,,,9:40 pm,,9:40 pm Athletics @ Seattle Mariners Preview
"Sunday, August 24, 2025",Colorado Rockies,Pittsburgh Pirates,,,12:05 pm,,12:05 pm Colorado Rockies @ Pittsburgh Pirates Preview
"Sunday, August 24, 2025",St. Louis Cardinals,Tampa Bay Rays,,,12:10 pm,,12:10 pm St. Louis Cardinals @ Tampa Bay Rays Preview
"Sunday, August 24, 2025",New York Mets,Atlanta Braves,,,1:35 pm,,1:35 pm New York Mets @ Atlanta Braves Preview
"Sunday, August 24, 2025",Houston Astros,Baltimore Orioles,,,1:35 pm,,1:35 pm Houston Astros @ Baltimore Orioles Preview
"Sunday, August 24, 2025",Boston Red Sox,New York Yankees,,,1:35 pm,,1:35 pm Boston Red Sox @ New York Yankees Preview
"Sunday, August 24, 2025",Washington Nationals,Philadelphia Phillies,,,1:35 pm,,1:35 pm Washington Nationals @ Philadelphia Phillies Preview
"Sunday, August 24, 2025",Kansas City Royals,Detroit Tigers,,,1:40 pm,,1:40 pm Kansas City Royals @ Detroit Tigers Preview
"Sunday, August 24, 2025",Toronto Blue Jays,Miami Marlins,,,1:40 pm,,1:40 pm Toronto Blue Jays @ Miami Marlins Preview
"Sunday, August 24, 2025",Minnesota Twins,Chicago White Sox,,,2:10 pm,,2:10 pm Minnesota Twins @ Chicago White Sox Preview
"Sunday, August 24, 2025",San Francisco Giants,Milwaukee Brewers,,,2:10 pm,,2:10 pm San Francisco Giants @ Milwaukee Brewers Preview
"Sunday, August 24, 2025",Cleveland Guardians,Texas Rangers,,,2:35 pm,,2:35 pm Cleveland Guardians @ Texas Rangers Preview
"Sunday, August 24, 2025",Chicago Cubs,Los Angeles Angels,,,4:07 pm,,4:07 pm Chicago Cubs @ Los Angeles Angels Preview
"Sunday, August 24, 2025",Cincinnati Reds,Arizona D'Backs,,,4:10 pm,,4:10 pm Cincinnati Reds @ Arizona D'Backs Preview
"Sunday, August 24, 2025",Los Angeles Dodgers,San Diego Padres,,,4:10 pm,,4:10 pm Los Angeles Dodgers @ San Diego Padres Preview
"Sunday, August 24, 2025",Athletics,Seattle Mariners,,,4:10 pm,,4:10 pm Athletics @ Seattle Mariners Preview
"Monday, August 25, 2025",Boston Red Sox,Baltimore Orioles,,,6:35 pm,,6:35 pm Boston Red Sox @ Baltimore Orioles Preview
"Monday, August 25, 2025",Tampa Bay Rays,Cleveland Guardians,,,6:40 pm,,6:40 pm Tampa Bay Rays @ Cleveland Guardians Preview
"Monday, August 25, 2025",Atlanta Braves,Miami Marlins,,,6:40 pm,,6:40 pm Atlanta Braves @ Miami Marlins Preview
"Monday, August 25, 2025",Washington Nationals,New York Yankees,,,7:05 pm,,7:05 pm Washington Nationals @ New York Yankees Preview
"Monday, August 25, 2025",Minnesota Twins,Toronto Blue Jays,,,7:07 pm,,7:07 pm Minnesota Twins @ Toronto Blue Jays Preview
"Monday, August 25, 2025",Philadelphia Phillies,New York Mets,,,7:10 pm,,7:10 pm Philadelphia Phillies @ New York Mets Preview
"Monday, August 25, 2025",Kansas City Royals,Chicago White Sox,,,7:40 pm,,7:40 pm Kansas City Royals @ Chicago White Sox Preview
"Monday, August 25, 2025",Arizona D'Backs,Milwaukee Brewers,,,7:40 pm,,7:40 pm Arizona D'Backs @ Milwaukee Brewers Preview
"Monday, August 25, 2025",Pittsburgh Pirates,St. Louis Cardinals,,,7:45 pm,,7:45 pm Pittsburgh Pirates @ St. Louis Cardinals Preview
"Monday, August 25, 2025",Los Angeles Angels,Texas Rangers,,,8:05 pm,,8:05 pm Los Angeles Angels @ Texas Rangers Preview
"Monday, August 25, 2025",San Diego Padres,Seattle Mariners,,,9:40 pm,,9:40 pm San Diego Padres @ Seattle Mariners Preview
"Monday, August 25, 2025",Detroit Tigers,Athletics,,,10:05 pm,,10:05 pm Detroit Tigers @ Athletics Preview
"Monday, August 25, 2025",Cincinnati Reds,Los Angeles Dodgers,,,10:10 pm,,10:10 pm Cincinnati Reds @ Los Angeles Dodgers Preview
"Tuesday, August 26, 2025",Boston Red Sox,Baltimore Orioles,,,6:35 pm,,6:35 pm Boston Red Sox @ Baltimore Orioles Preview
"Tuesday, August 26, 2025",Tampa Bay Rays,Cleveland Guardians,,,6:40 pm,,6:40 pm Tampa Bay Rays @ Cleveland Guardians Preview
"Tuesday, August 26, 2025",Atlanta Braves,Miami Marlins,,,6:40 pm,,6:40 pm Atlanta Braves @ Miami Marlins Preview
"Tuesday, August 26, 2025",Washington Nationals,New York Yankees,,,7:05 pm,,7:05 pm Washington Nationals @ New York Yankees Preview
"Tuesday, August 26, 2025",Minnesota Twins,Toronto Blue Jays,,,7:07 pm,,7:07 pm Minnesota Twins @ Toronto Blue Jays Preview
"Tuesday, August 26, 2025",Philadelphia Phillies,New York Mets,,,7:10 pm,,7:10 pm Philadelphia Phillies @ New York Mets Preview
"Tuesday, August 26, 2025",Kansas City Royals,Chicago White Sox,,,7:40 pm,,7:40 pm Kansas City Royals @ Chicago White Sox Preview
"Tuesday, August 26, 2025",Arizona D'Backs,Milwaukee Brewers,,,7:40 pm,,7:40 pm Arizona D'Backs @ Milwaukee Brewers Preview
"Tuesday, August 26, 2025",Pittsburgh Pirates,St. Louis Cardinals,,,7:45 pm,,7:45 pm Pittsburgh Pirates @ St. Louis Cardinals Preview
"Tuesday, August 26, 2025",Los Angeles Angels,Texas Rangers,,,8:05 pm,,8:05 pm Los Angeles Angels @ Texas Rangers Preview
"Tuesday, August 26, 2025",Colorado Rockies,Houston Astros,,,8:10 pm,,8:10 pm Colorado Rockies @ Houston Astros Preview
"Tuesday, August 26, 2025",San Diego Padres,Seattle Mariners,,,9:40 pm,,9:40 pm San Diego Padres @ Seattle Mariners Preview
"Tuesday, August 26, 2025",Chicago Cubs,San Francisco Giants,,,9:45 pm,,9:45 pm Chicago Cubs @ San Francisco Giants Preview
"Tuesday, August 26, 2025",Detroit Tigers,Athletics,,,10:05 pm,,10:05 pm Detroit Tigers @ Athletics Preview
"Tuesday, August 26, 2025",Cincinnati Reds,Los Angeles Dodgers,,,10:10 pm,,10:10 pm Cincinnati Reds @ Los Angeles Dodgers Preview
"Wednesday, August 27, 2025",Washington Nationals,New York Yankees,,,1:05 pm,,1:05 pm Washington Nationals @ New York Yankees Preview
"Wednesday, August 27, 2025",Tampa Bay Rays,Cleveland Guardians,,,1:10 pm,,1:10 pm Tampa Bay Rays @ Cleveland Guardians Preview
"Wednesday, August 27, 2025",Atlanta Braves,Miami Marlins,,,1:10 pm,,1:10 pm Atlanta Braves @ Miami Marlins Preview
"Wednesday, August 27, 2025",San Diego Padres,Seattle Mariners,,,4:10 pm,,4:10 pm San Diego Padres @ Seattle Mariners Preview
"Wednesday, August 27, 2025",Boston Red Sox,Baltimore Orioles,,,6:35 pm,,6:35 pm Boston Red Sox @ Baltimore Orioles Preview
"Wednesday, August 27, 2025",Minnesota Twins,Toronto Blue Jays,,,7:07 pm,,7:07 pm Minnesota Twins @ Toronto Blue Jays Preview
"Wednesday, August 27, 2025",Philadelphia Phillies,New York Mets,,,7:10 pm,,7:10 pm Philadelphia Phillies @ New York Mets Preview
"Wednesday, August 27, 2025",Kansas City Royals,Chicago White Sox,,,7:40 pm,,7:40 pm Kansas City Royals @ Chicago White Sox Preview
"Wednesday, August 27, 2025",Arizona D'Backs,Milwaukee Brewers,,,7:40 pm,,7:40 pm Arizona D'Backs @ Milwaukee Brewers Preview
"Wednesday, August 27, 2025",Pittsburgh Pirates,St. Louis Cardinals,,,7:45 pm,,7:45 pm Pittsburgh Pirates @ St. Louis Cardinals Preview
"Wednesday, August 27, 2025",Los Angeles Angels,Texas Rangers,,,8:05 pm,,8:05 pm Los Angeles Angels @ Texas Rangers Preview
"Wednesday, August 27, 2025",Colorado Rockies,Houston Astros,,,8:10 pm,,8:10 pm Colorado Rockies @ Houston Astros Preview
"Wednesday, August 27, 2025",Cincinnati Reds,Los Angeles Dodgers,,,8:40 pm,,8:40 pm Cincinnati Reds @ Los Angeles Dodgers Preview
"Wednesday, August 27, 2025",Chicago Cubs,San Francisco Giants,,,9:45 pm,,9:45 pm Chicago Cubs @ San Francisco Giants Preview
"Wednesday, August 27, 2025",Detroit Tigers,Athletics,,,10:05 pm,,10:05 pm Detroit Tigers @ Athletics Preview
"Thursday, August 28, 2025",Boston Red Sox,Baltimore Orioles,,,1:05 pm,,1:05 pm Boston Red Sox @ Baltimore Orioles Preview
"Thursday, August 28, 2025",Colorado Rockies,Houston Astros,,,2:10 pm,,2:10 pm Colorado Rockies @ Houston Astros Preview
"Thursday, August 28, 2025",Arizona D'Backs,Milwaukee Brewers,,,2:10 pm,,2:10 pm Arizona D'Backs @ Milwaukee Brewers Preview
"Thursday, August 28, 2025",Pittsburgh Pirates,St. Louis Cardinals,,,2:15 pm,,2:15 pm Pittsburgh Pirates @ St. Louis Cardinals Preview
"Thursday, August 28, 2025",Chicago Cubs,San Francisco Giants,,,3:45 pm,,3:45 pm Chicago Cubs @ San Francisco Giants Preview
"Thursday, August 28, 2025",Atlanta Braves,Philadelphia Phillies,,,6:45 pm,,6:45 pm Atlanta Braves @ Philadelphia Phillies Preview
"Thursday, August 28, 2025",Miami Marlins,New York Mets,,,7:10 pm,,7:10 pm Miami Marlins @ New York Mets Preview
"Thursday, August 28, 2025",New York Yankees,Chicago White Sox,,,7:40 pm,,7:40 pm New York Yankees @ Chicago White Sox Preview
"Friday, August 29, 2025",St. Louis Cardinals,Cincinnati Reds,,,6:40 pm,,6:40 pm St. Louis Cardinals @ Cincinnati Reds Preview
"Friday, August 29, 2025",Atlanta Braves,Philadelphia Phillies,,,6:45 pm,,6:45 pm Atlanta Braves @ Philadelphia Phillies Preview
"Friday, August 29, 2025",Tampa Bay Rays,Washington Nationals,,,6:45 pm,,6:45 pm Tampa Bay Rays @ Washington Nationals Preview
"Friday, August 29, 2025",Milwaukee Brewers,Toronto Blue Jays,,,7:07 pm,,7:07 pm Milwaukee Brewers @ Toronto Blue Jays Preview
"Friday, August 29, 2025",Pittsburgh Pirates,Boston Red Sox,,,7:10 pm,,7:10 pm Pittsburgh Pirates @ Boston Red Sox Preview
"Friday, August 29, 2025",Seattle Mariners,Cleveland Guardians,,,7:10 pm,,7:10 pm Seattle Mariners @ Cleveland Guardians Preview
"Friday, August 29, 2025",Miami Marlins,New York Mets,,,7:10 pm,,7:10 pm Miami Marlins @ New York Mets Preview
"Friday, August 29, 2025",New York Yankees,Chicago White Sox,,,7:40 pm,,7:40 pm New York Yankees @ Chicago White Sox Preview
"Friday, August 29, 2025",Los Angeles Angels,Houston Astros,,,8:10 pm,,8:10 pm Los Angeles Angels @ Houston Astros Preview
"Friday, August 29, 2025",Detroit Tigers,Kansas City Royals,,,8:10 pm,,8:10 pm Detroit Tigers @ Kansas City Royals Preview
"Friday, August 29, 2025",San Diego Padres,Minnesota Twins,,,8:10 pm,,8:10 pm San Diego Padres @ Minnesota Twins Preview
"Friday, August 29, 2025",Chicago Cubs,Colorado Rockies,,,8:40 pm,,8:40 pm Chicago Cubs @ Colorado Rockies Preview
"Friday, August 29, 2025",Texas Rangers,Athletics,,,10:05 pm,,10:05 pm Texas Rangers @ Athletics Preview
"Friday, August 29, 2025",Arizona D'Backs,Los Angeles Dodgers,,,10:10 pm,,10:10 pm Arizona D'Backs @ Los Angeles Dodgers Preview
"Friday, August 29, 2025",Baltimore Orioles,San Francisco Giants,,,10:15 pm,,10:15 pm Baltimore Orioles @ San Francisco Giants Preview
"Saturday, August 30, 2025",Milwaukee Brewers,Toronto Blue Jays,,,3:07 pm,,3:07 pm Milwaukee Brewers @ Toronto Blue Jays Preview
"Saturday, August 30, 2025",Tampa Bay Rays,Washington Nationals,,,4:05 pm,,4:05 pm Tampa Bay Rays @ Washington Nationals Preview
"Saturday, August 30, 2025",Pittsburgh Pirates,Boston Red Sox,,,4:10 pm,,4:10 pm Pittsburgh Pirates @ Boston Red Sox Preview
"Saturday, August 30, 2025",Miami Marlins,New York Mets,,,4:10 pm,,4:10 pm Miami Marlins @ New York Mets Preview
"Saturday, August 30, 2025",Atlanta Braves,Philadelphia Phillies,,,6:05 pm,,6:05 pm Atlanta Braves @ Philadelphia Phillies Preview
"Saturday, August 30, 2025",St. Louis Cardinals,Cincinnati Reds,,,6:40 pm,,6:40 pm St. Louis Cardinals @ Cincinnati Reds Preview
"Saturday, August 30, 2025",New York Yankees,Chicago White Sox,,,7:10 pm,,7:10 pm New York Yankees @ Chicago White Sox Preview
"Saturday, August 30, 2025",Los Angeles Angels,Houston Astros,,,7:10 pm,,7:10 pm Los Angeles Angels @ Houston Astros Preview
"Saturday, August 30, 2025",San Diego Padres,Minnesota Twins,,,7:10 pm,,7:10 pm San Diego Padres @ Minnesota Twins Preview
"Saturday, August 30, 2025",Seattle Mariners,Cleveland Guardians,,,7:15 pm,,7:15 pm Seattle Mariners @ Cleveland Guardians Preview
"Saturday, August 30, 2025",Detroit Tigers,Kansas City Royals,,,7:15 pm,,7:15 pm Detroit Tigers @ Kansas City Royals Preview
"Saturday, August 30, 2025",Baltimore Orioles,San Francisco Giants,,,7:15 pm,,7:15 pm Baltimore Orioles @ San Francisco Giants Preview
"Saturday, August 30, 2025",Chicago Cubs,Colorado Rockies,,,8:10 pm,,8:10 pm Chicago Cubs @ Colorado Rockies Preview
"Saturday, August 30, 2025",Arizona D'Backs,Los Angeles Dodgers,,,9:10 pm,,9:10 pm Arizona D'Backs @ Los Angeles Dodgers Preview
"Saturday, August 30, 2025",Texas Rangers,Athletics,,,10:05 pm,,10:05 pm Texas Rangers @ Athletics Preview
"Sunday, August 31, 2025",St. Louis Cardinals,Cincinnati Reds,,,12:10 pm,,12:10 pm St. Louis Cardinals @ Cincinnati Reds Preview
"Sunday, August 31, 2025",San Diego Padres,Minnesota Twins,,,1:05 pm,,1:05 pm San Diego Padres @ Minnesota Twins Preview
"Sunday, August 31, 2025",Pittsburgh Pirates,Boston Red Sox,,,1:35 pm,,1:35 pm Pittsburgh Pirates @ Boston Red Sox Preview
"Sunday, August 31, 2025",Tampa Bay Rays,Washington Nationals,,,1:35 pm,,1:35 pm Tampa Bay Rays @ Washington Nationals Preview
"Sunday, August 31, 2025",Milwaukee Brewers,Toronto Blue Jays,,,1:37 pm,,1:37 pm Milwaukee Brewers @ Toronto Blue Jays Preview
"Sunday, August 31, 2025",Seattle Mariners,Cleveland Guardians,,,1:40 pm,,1:40 pm Seattle Mariners @ Cleveland Guardians Preview
"Sunday, August 31, 2025",Miami Marlins,New York Mets,,,1:40 pm,,1:40 pm Miami Marlins @ New York Mets Preview
"Sunday, August 31, 2025",New York Yankees,Chicago White Sox,,,2:10 pm,,2:10 pm New York Yankees @ Chicago White Sox Preview
"Sunday, August 31, 2025",Los Angeles Angels,Houston Astros,,,2:10 pm,,2:10 pm Los Angeles Angels @ Houston Astros Preview
"Sunday, August 31, 2025",Detroit Tigers,Kansas City Royals,,,2:10 pm,,2:10 pm Detroit Tigers @ Kansas City Royals Preview
"Sunday, August 31, 2025",Chicago Cubs,Colorado Rockies,,,3:10 pm,,3:10 pm Chicago Cubs @ Colorado Rockies Preview
"Sunday, August 31, 2025",Texas Rangers,Athletics,,,4:05 pm,,4:05 pm Texas Rangers @ Athletics Preview
"Sunday, August 31, 2025",Baltimore Orioles,San Francisco Giants,,,4:05 pm,,4:05 pm Baltimore Orioles @ San Francisco Giants Preview
"Sunday, August 31, 2025",Arizona D'Backs,Los Angeles Dodgers,,,4:10 pm,,4:10 pm Arizona D'Backs @ Los Angeles Dodgers Preview
"Sunday, August 31, 2025",Atlanta Braves,Philadelphia Phillies,,,7:10 pm,,7:10 pm Atlanta Braves @ Philadelphia Phillies Preview
"Monday, September 1, 2025",Miami Marlins,Washington Nationals,,,1:05 pm,,1:05 pm Miami Marlins @ Washington Nationals Preview
"Monday, September 1, 2025",Toronto Blue Jays,Cincinnati Reds,,,1:10 pm,,1:10 pm Toronto Blue Jays @ Cincinnati Reds Preview
"Monday, September 1, 2025",New York Mets,Detroit Tigers,,,1:10 pm,,1:10 pm New York Mets @ Detroit Tigers Preview
"Monday, September 1, 2025",Cleveland Guardians,Boston Red Sox,,,1:35 pm,,1:35 pm Cleveland Guardians @ Boston Red Sox Preview
"Monday, September 1, 2025",Los Angeles Angels,Houston Astros,,,2:10 pm,,2:10 pm Los Angeles Angels @ Houston Astros Preview
"Monday, September 1, 2025",Chicago White Sox,Minnesota Twins,,,2:10 pm,,2:10 pm Chicago White Sox @ Minnesota Twins Preview
"Monday, September 1, 2025",Athletics,St. Louis Cardinals,,,2:15 pm,,2:15 pm Athletics @ St. Louis Cardinals Preview
"Monday, September 1, 2025",Atlanta Braves,Chicago Cubs,,,4:05 pm,,4:05 pm Atlanta Braves @ Chicago Cubs Preview
"Monday, September 1, 2025",San Francisco Giants,Colorado Rockies,,,4:10 pm,,4:10 pm San Francisco Giants @ Colorado Rockies Preview
"Monday, September 1, 2025",Philadelphia Phillies,Milwaukee Brewers,,,4:10 pm,,4:10 pm Philadelphia Phillies @ Milwaukee Brewers Preview
"Monday, September 1, 2025",Baltimore Orioles,San Diego Padres,,,6:40 pm,,6:40 pm Baltimore Orioles @ San Diego Padres Preview
"Monday, September 1, 2025",Seattle Mariners,Tampa Bay Rays,,,7:35 pm,,7:35 pm Seattle Mariners @ Tampa Bay Rays Preview
"Monday, September 1, 2025",Texas Rangers,Arizona D'Backs,,,8:10 pm,,8:10 pm Texas Rangers @ Arizona D'Backs Preview
"Tuesday, September 2, 2025",Toronto Blue Jays,Cincinnati Reds,,,6:40 pm,,6:40 pm Toronto Blue Jays @ Cincinnati Reds Preview
"Tuesday, September 2, 2025",New York Mets,Detroit Tigers,,,6:40 pm,,6:40 pm New York Mets @ Detroit Tigers Preview
"Tuesday, September 2, 2025",Los Angeles Dodgers,Pittsburgh Pirates,,,6:40 pm,,6:40 pm Los Angeles Dodgers @ Pittsburgh Pirates Preview
"Tuesday, September 2, 2025",Cleveland Guardians,Boston Red Sox,,,6:45 pm,,6:45 pm Cleveland Guardians @ Boston Red Sox Preview
"Tuesday, September 2, 2025",Miami Marlins,Washington Nationals,,,6:45 pm,,6:45 pm Miami Marlins @ Washington Nationals Preview
"Tuesday, September 2, 2025",Seattle Mariners,Tampa Bay Rays,,,7:35 pm,,7:35 pm Seattle Mariners @ Tampa Bay Rays Preview
"Tuesday, September 2, 2025",Atlanta Braves,Chicago Cubs,,,7:40 pm,,7:40 pm Atlanta Braves @ Chicago Cubs Preview
"Tuesday, September 2, 2025",Los Angeles Angels,Kansas City Royals,,,7:40 pm,,7:40 pm Los Angeles Angels @ Kansas City Royals Preview
"Tuesday, September 2, 2025",Chicago White Sox,Minnesota Twins,,,7:40 pm,,7:40 pm Chicago White Sox @ Minnesota Twins Preview
"Tuesday, September 2, 2025",Athletics,St. Louis Cardinals,,,7:45 pm,,7:45 pm Athletics @ St. Louis Cardinals Preview
"Tuesday, September 2, 2025",New York Yankees,Houston Astros,,,8:10 pm,,8:10 pm New York Yankees @ Houston Astros Preview
"Tuesday, September 2, 2025",San Francisco Giants,Colorado Rockies,,,8:40 pm,,8:40 pm San Francisco Giants @ Colorado Rockies Preview
"Tuesday, September 2, 2025",Texas Rangers,Arizona D'Backs,,,9:40 pm,,9:40 pm Texas Rangers @ Arizona D'Backs Preview
"Tuesday, September 2, 2025",Baltimore Orioles,San Diego Padres,,,9:40 pm,,9:40 pm Baltimore Orioles @ San Diego Padres Preview
"Wednesday, September 3, 2025",Miami Marlins,Washington Nationals,,,1:05 pm,,1:05 pm Miami Marlins @ Washington Nationals Preview
"Wednesday, September 3, 2025",New York Mets,Detroit Tigers,,,1:10 pm,,1:10 pm New York Mets @ Detroit Tigers Preview
"Wednesday, September 3, 2025",Texas Rangers,Arizona D'Backs,,,3:40 pm,,3:40 pm Texas Rangers @ Arizona D'Backs Preview
"Wednesday, September 3, 2025",Baltimore Orioles,San Diego Padres,,,4:10 pm,,4:10 pm Baltimore Orioles @ San Diego Padres Preview
"Wednesday, September 3, 2025",Toronto Blue Jays,Cincinnati Reds,,,6:40 pm,,6:40 pm Toronto Blue Jays @ Cincinnati Reds Preview
"Wednesday, September 3, 2025",Los Angeles Dodgers,Pittsburgh Pirates,,,6:40 pm,,6:40 pm Los Angeles Dodgers @ Pittsburgh Pirates Preview
"Wednesday, September 3, 2025",Cleveland Guardians,Boston Red Sox,,,6:45 pm,,6:45 pm Cleveland Guardians @ Boston Red Sox Preview
"Wednesday, September 3, 2025",Seattle Mariners,Tampa Bay Rays,,,7:35 pm,,7:35 pm Seattle Mariners @ Tampa Bay Rays Preview
"Wednesday, September 3, 2025",Atlanta Braves,Chicago Cubs,,,7:40 pm,,7:40 pm Atlanta Braves @ Chicago Cubs Preview
"Wednesday, September 3, 2025",Los Angeles Angels,Kansas City Royals,,,7:40 pm,,7:40 pm Los Angeles Angels @ Kansas City Royals Preview
"Wednesday, September 3, 2025",Philadelphia Phillies,Milwaukee Brewers,,,7:40 pm,,7:40 pm Philadelphia Phillies @ Milwaukee Brewers Preview
"Wednesday, September 3, 2025",Chicago White Sox,Minnesota Twins,,,7:40 pm,,7:40 pm Chicago White Sox @ Minnesota Twins Preview
"Wednesday, September 3, 2025",Athletics,St. Louis Cardinals,,,7:45 pm,,7:45 pm Athletics @ St. Louis Cardinals Preview
"Wednesday, September 3, 2025",New York Yankees,Houston Astros,,,8:10 pm,,8:10 pm New York Yankees @ Houston Astros Preview
"Wednesday, September 3, 2025",San Francisco Giants,Colorado Rockies,,,8:40 pm,,8:40 pm San Francisco Giants @ Colorado Rockies Preview
"Thursday, September 4, 2025",Philadelphia Phillies,Milwaukee Brewers,,,4:10 pm,,4:10 pm Philadelphia Phillies @ Milwaukee Brewers Preview
"Thursday, September 4, 2025",Los Angeles Dodgers,Pittsburgh Pirates,,,6:40 pm,,6:40 pm Los Angeles Dodgers @ Pittsburgh Pirates Preview
"Thursday, September 4, 2025",Cleveland Guardians,Tampa Bay Rays,,,7:35 pm,,7:35 pm Cleveland Guardians @ Tampa Bay Rays Preview
"Thursday, September 4, 2025",New York Yankees,Houston Astros,,,7:40 pm,,7:40 pm New York Yankees @ Houston Astros Preview
"Thursday, September 4, 2025",Los Angeles Angels,Kansas City Royals,,,7:40 pm,,7:40 pm Los Angeles Angels @ Kansas City Royals Preview
"Thursday, September 4, 2025",Chicago White Sox,Minnesota Twins,,,7:40 pm,,7:40 pm Chicago White Sox @ Minnesota Twins Preview
"Friday, September 5, 2025",Washington Nationals,Chicago Cubs,,,2:20 pm,,2:20 pm Washington Nationals @ Chicago Cubs Preview
"Friday, September 5, 2025",New York Mets,Cincinnati Reds,,,6:40 pm,,6:40 pm New York Mets @ Cincinnati Reds Preview
"Friday, September 5, 2025",Chicago White Sox,Detroit Tigers,,,6:40 pm,,6:40 pm Chicago White Sox @ Detroit Tigers Preview
"Friday, September 5, 2025",Milwaukee Brewers,Pittsburgh Pirates,,,6:40 pm,,6:40 pm Milwaukee Brewers @ Pittsburgh Pirates Preview
"Friday, September 5, 2025",Los Angeles Dodgers,Baltimore Orioles,,,7:05 pm,,7:05 pm Los Angeles Dodgers @ Baltimore Orioles Preview
"Friday, September 5, 2025",Toronto Blue Jays,New York Yankees,,,7:05 pm,,7:05 pm Toronto Blue Jays @ New York Yankees Preview
"Friday, September 5, 2025",Philadelphia Phillies,Miami Marlins,,,7:10 pm,,7:10 pm Philadelphia Phillies @ Miami Marlins Preview
"Friday, September 5, 2025",Seattle Mariners,Atlanta Braves,,,7:15 pm,,7:15 pm Seattle Mariners @ Atlanta Braves Preview
"Friday, September 5, 2025",Cleveland Guardians,Tampa Bay Rays,,,7:35 pm,,7:35 pm Cleveland Guardians @ Tampa Bay Rays Preview
"Friday, September 5, 2025",Minnesota Twins,Kansas City Royals,,,7:40 pm,,7:40 pm Minnesota Twins @ Kansas City Royals Preview
"Friday, September 5, 2025",Houston Astros,Texas Rangers,,,8:05 pm,,8:05 pm Houston Astros @ Texas Rangers Preview
"Friday, September 5, 2025",San Francisco Giants,St. Louis Cardinals,,,8:15 pm,,8:15 pm San Francisco Giants @ St. Louis Cardinals Preview
